iter,pi-lip_w=True_CPLip=True,pi-weights_w=True_CPLip=True,pi-lip_w=True_CPLip=False,pi-weights_w=True_CPLip=False,pi-lip_w=False_CPLip=True,pi-weights_w=False_CPLip=True,pi-lip_w=False_CPLip=False,pi-weights_w=False_CPLip=False,V-lip_w=True_CPLip=True,V-weights_w=True_CPLip=True,V-lip_w=True_CPLip=False,V-weights_w=True_CPLip=False,V-lip_w=False_CPLip=True,V-weights_w=False_CPLip=True,V-lip_w=False_CPLip=False,V-weights_w=False_CPLip=False
0,2.9267082,[1.         0.94917285],6.137924,[1.         0.94917285],26.061611,,130.8141,,85.403946,[1.         0.99442434],390.91858,[1.         0.99442434],255.21619,,1504.8287,
1,2.9267082,[1.         0.94917285],6.137924,[1.         0.94917285],26.061611,,130.8141,,25463.582,[1.        0.6660249],45498.668,[1.        0.6660249],58537.355,,161044.44,
2,2.9267082,[1.         0.94917285],6.137924,[1.         0.94917285],26.061611,,130.8141,,24715.139,[1.         0.68330216],47399.04,[1.         0.68330216],86220.7,,272538.4,
3,2.1461258,[1.        0.9998032],4.110276,[1.        0.9998032],22.168203,,109.314316,,23965.176,[1.        0.6899327],47360.316,[1.        0.6899327],101969.055,,336875.56,
4,1.70103,[1.         0.99985844],3.262562,[1.         0.99985844],19.657867,,98.55807,,23818.482,[0.99999994 0.6898137 ],47689.418,[0.99999994 0.6898137 ],104164.46,,346627.47,
5,1.2519884,[1.        0.9998114],2.4502401,[1.        0.9998114],16.786398,,86.44229,,23210.45,[1.        0.7006934],46955.5,[1.        0.7006934],105286.52,,355077.44,
6,0.8594456,[0.99999994 0.999875  ],1.7552893,[0.99999994 0.999875  ],13.859242,,74.255486,,23128.783,[1.       0.716913],47184.74,[1.       0.716913],114457.79,,414591.88,
7,0.5515522,[1.         0.99994934],1.2023808,[1.         0.99994934],10.898646,,61.21002,,24188.895,[1.        0.7142671],49673.824,[1.        0.7142671],118935.57,,427908.78,
8,0.4992341,[0.9869783 1.       ],1.1194332,[0.9869783 1.       ],10.11044,,57.19035,,23449.361,[1.         0.71540236],48347.41,[1.         0.71540236],121397.66,,453443.47,
9,0.4998675,[0.97729975 0.99999994],1.0874968,[0.97729975 0.99999994],10.100614,,56.681454,,22678.986,[0.99999994 0.7152456 ],46670.426,[0.99999994 0.7152456 ],121415.8,,451485.5,
10,0.6918668,[1.         0.91335905],1.4477265,[1.         0.91335905],11.52291,,62.195255,,25385.232,[1.         0.69737846],51459.59,[1.         0.69737846],125616.516,,454642.03,
11,0.7265718,[1.         0.90442026],1.5099813,[1.         0.90442026],11.765366,,63.150307,,25374.559,[1.        0.6975523],51486.527,[1.        0.6975523],125788.21,,455687.9,
