,time [s]
initialize,0.003266
pretrain_policy,59.199615
initialize_CEGIS,0.121269
iter0_learner,11.674612
iter0_plot,0.613318
iter0_verifier,16.994066
iter0_process_counterexamples,0.044564
iter1_learner,15.428847
iter1_plot,0.011858
iter1_verifier,9.529625
iter1_process_counterexamples,0.004498
iter2_learner,9.094509
iter2_plot,0.005637
iter2_verifier,8.27722
iter2_process_counterexamples,0.004468
iter3_learner,13.974502
iter3_plot,0.005304
iter3_verifier,8.554757
iter3_process_counterexamples,0.006419
iter4_learner,14.05905
iter4_plot,0.005779
iter4_verifier,8.046541
iter4_process_counterexamples,0.005016
iter5_learner,13.881681
iter5_plot,0.005821
iter5_verifier,7.415861
iter5_process_counterexamples,0.005367
iter6_learner,14.138767
iter6_plot,0.007665
iter6_verifier,7.286244
iter6_process_counterexamples,0.003701
iter7_learner,14.106422
iter7_plot,0.006572
iter7_verifier,7.168447
iter7_process_counterexamples,0.003436
iter8_learner,13.30737
iter8_plot,0.006943
iter8_verifier,7.333695
iter8_process_counterexamples,0.003458
iter9_learner,14.287312
iter9_plot,0.007134
iter9_verifier,794.9483
