iter,pi-lip_w=True_CPLip=True,pi-weights_w=True_CPLip=True,pi-lip_w=True_CPLip=False,pi-weights_w=True_CPLip=False,pi-lip_w=False_CPLip=True,pi-weights_w=False_CPLip=True,pi-lip_w=False_CPLip=False,pi-weights_w=False_CPLip=False,V-lip_w=True_CPLip=True,V-weights_w=True_CPLip=True,V-lip_w=True_CPLip=False,V-weights_w=True_CPLip=False,V-lip_w=False_CPLip=True,V-weights_w=False_CPLip=True,V-lip_w=False_CPLip=False,V-weights_w=False_CPLip=False
0,2.879262,[0.99693495 0.99999994],4.792567,[0.99693495 0.99999994],7.748446,,20.873762,,19.825008,[1.         0.98820645],54.664726,[1.         0.98820645],48.89044,,159.47795,
1,2.879262,[0.99693495 0.99999994],4.792567,[0.99693495 0.99999994],7.748446,,20.873762,,7702.872,[1.         0.71115434],12372.65,[1.         0.71115434],9554.499,,17930.855,
2,2.879262,[0.99693495 0.99999994],4.792567,[0.99693495 0.99999994],7.748446,,20.873762,,17298.7,[1.       0.649008],28859.467,[1.       0.649008],21773.617,,41182.08,
3,2.5767515,[0.99999994 0.99995905],4.4953012,[0.99999994 0.99995905],7.1828566,,19.759726,,22893.963,[1.         0.59143955],38927.887,[1.         0.59143955],32502.793,,66731.734,
4,2.512971,[1.         0.99988204],4.36079,[1.         0.99988204],6.973359,,19.018919,,24675.559,[1.        0.5668236],42708.703,[1.        0.5668236],36171.96,,76739.73,
5,2.4531476,[1.         0.99987626],4.221383,[1.         0.99987626],6.8223515,,18.466587,,24661.54,[1.         0.56431955],43222.2,[1.         0.56431955],36868.97,,79785.68,
6,2.3877494,[1.        0.9999684],4.0833507,[1.        0.9999684],6.6599164,,17.98246,,24339.162,[1.        0.5643164],43189.28,[1.        0.5643164],39993.812,,91296.16,
7,2.3089786,[1.        0.9999548],3.9401064,[1.        0.9999548],6.4862514,,17.512781,,23957.01,[0.99999994 0.564688  ],43007.12,[0.99999994 0.564688  ],42439.855,,100341.03,
8,2.2171767,[1.0000001  0.99992645],3.7939208,[1.0000001  0.99992645],6.308714,,17.026104,,23521.363,[1.        0.5650272],42776.465,[1.        0.5650272],44568.35,,108625.47,
9,2.1025774,[1.         0.99990165],3.6269698,[1.         0.99990165],6.1389112,,16.645588,,23077.342,[0.99999994 0.5657578 ],42535.21,[0.99999994 0.5657578 ],46963.453,,117999.51,
10,1.9631665,[1.         0.99999726],3.4174483,[1.         0.99999726],5.907003,,16.13475,,22740.303,[1.        0.5646577],42329.086,[1.        0.5646577],48090.46,,122876.32,
11,1.8032842,[1.         0.99999046],3.1599014,[1.         0.99999046],5.5745325,,15.354834,,22810.283,[1.         0.56075466],42845.48,[1.         0.56075466],49607.54,,127918.78,
12,1.6226422,[0.9999645 1.       ],2.8794937,[0.9999645 1.       ],5.177821,,14.427325,,22426.318,[1.         0.56369036],42523.902,[1.         0.56369036],50528.81,,131773.8,
13,1.4185053,[1.         0.99993527],2.5627947,[1.         0.99993527],4.7052245,,13.289916,,22092.775,[0.99999994 0.56712383],42022.223,[0.99999994 0.56712383],50797.453,,133408.19,
14,1.1915246,[1.        0.9997797],2.2096083,[1.        0.9997797],4.1586847,,11.941697,,22164.79,[1.       0.565382],42031.2,[1.       0.565382],50764.68,,132937.3,
15,0.9549359,[1.        0.9999447],1.8335555,[1.        0.9999447],3.579872,,10.475986,,21891.604,[1.         0.56698424],41521.02,[1.         0.56698424],50532.34,,132639.95,
16,0.7279583,[0.99990875 1.        ],1.4605951,[0.99990875 1.        ],3.0322342,,9.112025,,21540.95,[1.         0.56879437],40894.887,[1.         0.56879437],50063.945,,131662.89,
17,0.5216808,[0.9998855 1.       ],1.1050538,[0.9998855 1.       ],2.4973266,,7.7247114,,22148.941,[1.         0.56385726],41524.8,[1.         0.56385726],50781.004,,132175.9,
18,0.49825248,[0.9997986  0.99999994],1.0646536,[0.9997986  0.99999994],2.4306417,,7.547386,,22031.9,[1.         0.56445104],41380.867,[1.         0.56445104],52140.4,,137330.89,
19,0.49825245,[0.99979866 0.99999994],1.0646536,[0.99979866 0.99999994],2.4306417,,7.547386,,21790.787,[1.        0.5654623],40949.945,[1.        0.5654623],52667.227,,139586.6,
20,0.49825245,[0.99979866 1.        ],1.0646536,[0.99979866 1.        ],2.4306378,,7.547372,,21820.107,[0.99999994 0.5649941 ],41160.293,[0.99999994 0.5649941 ],55155.914,,147503.33,
21,0.49825382,[0.99979955 0.99999994],1.0646566,[0.99979955 0.99999994],2.4306753,,7.547524,,21592.744,[0.99999994 0.569271  ],40731.785,[0.99999994 0.569271  ],59298.395,,160161.88,
22,0.49828863,[0.9997747  0.99999994],1.06475,[0.9997747  0.99999994],2.4349122,,7.5646496,,21355.24,[1.         0.57423717],40204.707,[1.         0.57423717],63323.953,,172626.33,
23,0.49832982,[0.99975216 0.99999994],1.064882,[0.99975216 0.99999994],2.437472,,7.575056,,21660.467,[0.99999994 0.5731727 ],40545.12,[0.99999994 0.5731727 ],64682.0,,175932.42,
24,0.49835655,[0.9997386  0.99999994],1.0649791,[0.9997386  0.99999994],2.438952,,7.581105,,21483.889,[1.         0.57462865],40190.34,[1.         0.57462865],65080.867,,177315.66,
25,0.49839777,[0.9997224  0.99999994],1.0650946,[0.9997224  0.99999994],2.4405928,,7.587813,,21292.486,[1.       0.576328],39810.418,[1.       0.576328],65476.73,,178879.14,
26,0.4984207,[0.9997136 1.       ],1.0651305,[0.9997136 1.       ],2.4430697,,7.5976887,,21043.742,[1.        0.5774562],39384.453,[1.        0.5774562],65401.434,,179156.27,
27,0.49844897,[0.9997037 1.       ],1.065172,[0.9997037 1.       ],2.4427426,,7.5963554,,21194.137,[1.        0.5764931],39758.24,[1.        0.5764931],65605.69,,179460.25,
28,0.49847627,[0.99968153 1.        ],1.0651733,[0.99968153 1.        ],2.4431334,,7.5977435,,21012.602,[1.         0.57774305],39431.38,[1.         0.57774305],65772.7,,179470.77,
29,0.49858814,[0.99957085 1.        ],1.0652297,[0.99957085 1.        ],2.4437954,,7.59981,,21169.342,[0.99999994 0.5745785 ],39770.95,[0.99999994 0.5745785 ],67230.47,,182964.81,
30,0.49953932,[0.9987543 1.       ],1.0665232,[0.9987543 1.       ],2.4444928,,7.600365,,21008.754,[1.        0.5768472],39508.883,[1.        0.5768472],69425.9,,190025.75,
31,0.4867386,[0.9909069 1.       ],1.0435599,[0.9909069 1.       ],2.388296,,7.4551296,,21367.191,[1.       0.577019],39849.645,[1.       0.577019],72512.33,,198776.75,
32,0.48780572,[0.98800707 1.        ],1.0427483,[0.98800707 1.        ],2.389967,,7.4495897,,21175.213,[0.99999994 0.57587314],39614.164,[0.99999994 0.57587314],73771.19,,203099.3,
33,0.4926118,[0.98670655 0.99999994],1.0440824,[0.98670655 0.99999994],2.3908403,,7.4265428,,21283.85,[0.99999994 0.57317865],40078.273,[0.99999994 0.57317865],75387.9,,208766.08,
34,0.49736688,[0.98676676 1.        ],1.0472839,[0.98676676 1.        ],2.3951254,,7.412549,,21179.76,[0.99999994 0.573511  ],39898.74,[0.99999994 0.573511  ],75637.414,,209733.48,
35,0.48233214,[0.99999994 0.9846393 ],1.0147501,[0.99999994 0.9846393 ],2.3343987,,7.2566886,,21043.217,[1.         0.57490903],39654.117,[1.         0.57490903],76041.2,,211326.19,
36,0.49000332,[1.        0.9751599],1.024243,[1.        0.9751599],2.3397875,,7.2506614,,20849.654,[1.        0.5774272],39321.73,[1.        0.5774272],76607.445,,213796.05,
37,0.46376145,[0.9709578  0.99999994],0.9815195,[0.9709578  0.99999994],2.3238378,,7.276864,,20624.812,[0.99999994 0.579681  ],38897.5,[0.99999994 0.579681  ],77300.49,,216415.1,
38,0.46468502,[0.9698386  0.99999994],0.982556,[0.9698386  0.99999994],2.3264635,,7.280309,,20992.809,[1.       0.577681],39411.68,[1.       0.577681],77261.79,,215066.52,
39,0.46722147,[0.9669132 1.       ],0.985428,[0.9669132 1.       ],2.3347607,,7.2934546,,20841.498,[1.        0.5766703],39204.5,[1.        0.5766703],78068.47,,218192.45,
