,time [s]
initialize,0.002524
pretrain_policy,47.563076
initialize_CEGIS,0.107817
iter0_learner,8.974136
iter0_plot,0.527111
iter0_verifier,16.029442
iter0_process_counterexamples,0.0213
iter1_learner,11.695589
iter1_plot,0.005118
iter1_verifier,3.04077
iter1_process_counterexamples,0.00719
iter2_learner,6.25668
iter2_plot,0.005251
iter2_verifier,7.073374
iter2_process_counterexamples,0.005392
iter3_learner,10.44238
iter3_plot,0.005299
iter3_verifier,9.209707
iter3_process_counterexamples,0.006031
iter4_learner,10.783839
iter4_plot,0.005429
iter4_verifier,7.740602
iter4_process_counterexamples,0.007758
iter5_learner,10.910922
iter5_plot,0.005686
iter5_verifier,7.109575
iter5_process_counterexamples,0.006932
iter6_learner,10.762382
iter6_plot,0.005994
iter6_verifier,6.710047
iter6_process_counterexamples,0.005901
iter7_learner,10.08777
iter7_plot,0.006275
iter7_verifier,6.792998
iter7_process_counterexamples,0.007512
iter8_learner,10.610379
iter8_plot,0.006501
iter8_verifier,6.507313
iter8_process_counterexamples,0.006213
iter9_learner,10.757402
iter9_plot,0.025475
iter9_verifier,6.653931
iter9_process_counterexamples,0.004687
iter10_learner,10.747652
iter10_plot,0.007081
iter10_verifier,7.317466
iter10_process_counterexamples,0.006932
iter11_learner,10.897474
iter11_plot,0.009683
iter11_verifier,7.918686
iter11_process_counterexamples,0.004479
iter12_learner,10.239219
iter12_plot,0.007623
iter12_verifier,7.375984
iter12_process_counterexamples,0.004094
iter13_learner,10.761268
iter13_plot,0.007766
iter13_verifier,5.7697
iter13_process_counterexamples,0.004164
iter14_learner,10.332109
iter14_plot,0.008309
iter14_verifier,7.116016
iter14_process_counterexamples,0.004078
iter15_learner,10.706083
iter15_plot,0.008565
iter15_verifier,6.303337
iter15_process_counterexamples,0.003994
iter16_learner,10.7057
iter16_plot,0.008948
iter16_verifier,6.947525
iter16_process_counterexamples,0.005753
iter17_learner,10.19493
iter17_plot,0.008985
iter17_verifier,7.428772
iter17_process_counterexamples,0.006131
iter18_learner,10.749345
iter18_plot,0.009269
iter18_verifier,7.243123
iter18_process_counterexamples,0.003875
iter19_learner,10.756073
iter19_plot,0.009956
iter19_verifier,6.046474
iter19_process_counterexamples,0.003844
iter20_learner,10.616943
iter20_plot,0.010067
iter20_verifier,7.232309
iter20_process_counterexamples,0.003842
iter21_learner,10.735001
iter21_plot,0.01027
iter21_verifier,7.336005
iter21_process_counterexamples,0.003774
iter22_learner,10.170314
iter22_plot,0.011379
iter22_verifier,5.935847
iter22_process_counterexamples,0.00381
iter23_learner,10.733374
iter23_plot,0.010947
iter23_verifier,7.657245
iter23_process_counterexamples,0.003754
iter24_learner,10.600386
iter24_plot,0.010985
iter24_verifier,7.116185
iter24_process_counterexamples,0.00375
iter25_learner,10.197913
iter25_plot,0.01143
iter25_verifier,6.036906
iter25_process_counterexamples,0.003839
iter26_learner,10.801524
iter26_plot,0.011879
iter26_verifier,6.149126
iter26_process_counterexamples,0.003754
iter27_learner,10.953058
iter27_plot,0.012682
iter27_verifier,5.788568
iter27_process_counterexamples,0.003914
iter28_learner,10.578094
iter28_plot,0.012715
iter28_verifier,6.491183
iter28_process_counterexamples,0.005484
iter29_learner,10.811
iter29_plot,0.012378
iter29_verifier,5.927122
iter29_process_counterexamples,0.003831
iter30_learner,11.081024
iter30_plot,0.012721
iter30_verifier,6.244603
iter30_process_counterexamples,0.003909
iter31_learner,10.860536
iter31_plot,0.012945
iter31_verifier,8.033677
